"Lon";"Lat"
"3613";-6.23804;36.40548
"3617";9.6193;41.08591
"3623";3.21444;42.06083
"3624";16.2633;42.3939
"3625";10.3319;43.47201
"3626";12.30971;37.87818
"3628";11.08893;42.43012
"3630";23.98;39.19
"3639";9.225028;41.305755
"3642";9.20833333333333;41.2916666666667
"3647";17.81483;40.96683
"3648";15.2711;40.02193
"3651";10.91318;42.37377
"3654";2.6187;41.528
"3656";23.9276;39.2655
"3661";12.09;37.94945
"3664";10.33304;43.46931
"3665";10.43444;42.77555
"3666";15.94222;43.51056
"3667";14.2291;45.1509
"3671";9.14649;41.272415
"3675";9.83593;44.04113
"3680";10.4825;42.92277
"3681";9.31835;41.2508
"3684";14.92667;43.65306
"3685";3.1833;41.8816
"3688";10.2867;42.83084
"3690";3.1665;42.4641
"3693";10.4214;42.70697
"3694";10.43405;42.73513
"3695";-0.53663;37.7041
"3700";14.4044;40.6595
"3702";7.53836;43.7806
"3704";8.7626;42.5705
"3705";10.4325;42.7354
"3707";15.0289;44.1502
"3711";10.35;43.45
"3714";10.33194;43.47166
"3722";9.8511;44.0228
"3725";10.33166;43.47055
"3727";26.5767;39.37
"3731";12.2637;37.4959
"3738";10.33027;43.47166
"3741";14.5435;44.6335
"3742";26.59;38.96
"3744";10.32;42.73444
"3752";5.4987;43.1976
"3753";10.4343;42.735
"3754";10.9296;42.35568
"3760";10.33346;43.47066
"3765";11.08009;42.41841
"3770";9.19507;41.25114
"3779";8.08055;43.87222
"3784";22.7759990692139;38.7760009765625
"3785";9.6952;40.9031
"3787";11.08091;42.41816
"3789";10.4124;42.7097
"3795";11.10065;42.44296
"3800";10.33171;43.47126
"3803";10.33185;43.47146
"3811";-0.6844;37.6336
"3814";9.7478;40.91472
"3816";3.22644;42.04804
"3821";10.43599;42.71276
"3825";3.2106;42.0716
"3826";5.2394;43.3308
"3832";9.85062;44.02377
"3835";17.3113;40.364
"3839";7.49138;43.75277
"3845";15.255;43.8038
"3846";3.2263;42.048
"3848";3.3199;42.3219
"3850";2.8991;41.6701
"3853";5.3911;43.1865
"3864";15.91861;43.51333
"3872";15.7386;38.2626
"3875";17.27;40.9761
"3883";17.316;40.3571
"3884";10.90361;42.38694
"3891";3.22886;42.04623
"3892";10.9221;42.3665
"3895";26.5130004882812;39.0550003051758
"3896";12.3059;37.9049
"3897";10.54832;42.85613
"3903";11.08271;42.41889
"3917";14.32497;40.61874
"3927";14.9478;44.1448
"3930";8.16111;40.56194
"3933";10.3316;43.47174
"3936";9.8506;44.02384
"3938";12.5562;35.5062
"3942";26.4774;39.26054
"3956";9.8514;44.0231
"3960";12.34341;41.60773
"3961";9.37777;41.21
"3963";15.27202;40.03296
"3970";10.27695;43.50893
"3973";3.2124;42.0681
"3977";2.958;39.1261
"3986";12.09185;37.94986
"3994";10.33161;43.47198
"4001";14.32508;40.61855
"4003";2.8602;41.6716
"4004";14.3761;40.5873
"4005";15.06501;44.04051
"4010";14.94783;44.14483
"4017";14.32463;40.61877
"4022";3.22201;42.05154
"4025";10.30156;43.49618
"4027";23.9890003204346;39.1940002441406
"4031";10.48355;42.98673
"4034";3.1399;42.5175
"4037";10.4167;42.75
"4038";10.33155;43.47192
"4039";3.2792;42.3357
"4047";10.43425;42.73496
"4053";12.27197;37.91113
"4059";3.2271;42.0421
"4065";11.08113;42.41808
"4068";11.84728;42.01988
"4079";10.54875;42.85656
"4082";14.29;40.83
"4084";9.21278;41.31194
"4087";15.9691;43.4933
"4093";-0.6417;37.69633
"4099";5.29555;43.115136
"4109";26.3769;39.3726
"4117";3.32611;42.32
"4119";12.29573;37.91038
"4126";3.22632;42.04805
"4129";10.43424;42.7116
"4132";9.7011;40.9053
"4135";3.21938;42.05014
"4139";10.30233;42.35055
"4141";10.098;42.6197
"4154";26.4196;39.342
"4162";12.2999;37.91136
"4164";17.236;40.995
"4165";10.43651;42.70453
"4166";10.43472;42.72777
"4167";23.96205;38.70523
"4169";8.03579;43.83482
"4170";12.30018;37.91211
"4175";10.3185;42.7342
"4176";9.04503;44.35647
"4177";10.2041;42.80859
"4178";1.1651;38.9713
"4185";9.63333;44.13333
"4191";15.76853;39.87171
"4198";10.4349;42.7273
"4199";15.166;43.878
"4204";11.08252;42.41879
"4205";-0.680000007153;37.6300010681
"4208";14.32508;40.61852
"4210";9.8473;44.0292
"4215";10.3307;43.471
"4219";5.33833;43.2075
"4222";5.3955;43.1788
"4228";15.02456;44.15193
"4232";15.4775;42.0988
"4237";10.5469;42.8555
"4238";10.12638;42.80611
"4244";9.61435;41.07896
"4246";12.2516;37.4824
"4252";10.9173;42.3698
"4257";17.9015;40.2415
"4258";12.33891;41.60576
"4264";5.4514;43.2009
"4265";7.96388;43.83777
"4268";10.4325;42.7355
"4273";18.5022;40.1473
"4275";9.5994;44.15331
"4276";8.0282;43.8514
"4278";26.5970001220703;38.9599990844727
"4279";12.34113;41.60576
"4286";11.21138;42.37972
"4289";18.3664;39.7886
"4308";10.1261;42.8062
"4310";16.0894;38.7422
"4313";10.42466;42.70707
"4314";11.09597;42.44751
"4315";11.09166;42.40111
"4318";7.57916;43.77694
"4322";26.5164;39.0401
"4327";10.3414;43.462
"4329";11.1015;42.25883
"4332";10.87954;42.38898
"4337";10.33255;43.47058
"4340";24.63085;38.16149
"4349";12.557;35.508
"4352";11.17826;42.36303
"4356";17.5715;40.29031
"4361";8.46953;36.90522
"4366";10.32082;42.73392
"4368";10.33172;43.47184
"4369";10.33077;43.47197
"4370";3.22361;42.045
"4384";10.2836;42.7324
"4390";15.73111;38.25815
"4391";9.84906;44.01409
"4392";9.64609;44.11277
"4393";5.62888;43.16327
"4394";2.66724;39.47644
"4395";5.32953;43.27825
"4396";14.28138;40.82543
"4397";9.51805;44.18663
"4398";5.38124;43.20515
"4399";2.99045;39.16413
"4400";9.72349;40.8846
"4401";9.70974;40.92408
"4402";3.227;42.05
"4404";5.40353;43.16829
"4405";0.66;39.86
"4406";9.83;44
"4418";5.15;43.31
"4419";6.67;43.3
"4420";6.35934;43.02084
"4421";9.84995;44.01474
"4423";-8.926;37.898
"4424";-8.919;36.972
"4425";-8.92;36.971
"4426";-8.922;36.967
"4427";-8.704;37.004
"4428";-8.492;37.063
"4429";-8.505;36.999
"4430";-8.599;36.996
"4431";-8.5;36.992
"4432";-8.489;36.991
"4433";-8.528;36.988
"4434";-7.635;37.057
"4435";-5.313;35.752
"4436";-5.248;35.642
"4437";-3.00261;35.43551
"4438";-1.12;35.62066
"4439";8.93177;37.55432
"4441";-5.299;35.905
"4442";-5.31502;35.89962
"4443";-5.302;35.904
"4445";-2.43958;35.19801
"4446";-0.64278;37.65069
"4447";0.667;39.917
"4448";0.67219;39.89043
"4449";2.47084;41.51507
"4450";2.95787;41.72891
"4451";3.18523;41.86982
"4452";3.198;41.88
"4453";3.207;41.891
"4454";3.21652;42.04772
"4456";1.64231;38.97306
"4457";2.96379;39.12395
"4458";3.064;39.168
"4459";3.622;39.878
"4460";3.217;42.2
"4461";3.21942;42.22282
"4462";3.29863;42.33465
"4463";3.142;42.515
"4464";3.167;42.467
"4465";5.032;43.285
"4466";5.155;43.283
"4467";5.33336;43.28264
"4468";5.24852;43.33177
"4469";5.32787;43.20938
"4470";5.39795;43.18441
"4471";5.39232;43.18823
"4472";5.39695;43.18239
"4473";5.40299;43.17756
"4474";5.45113;43.1973
"4475";5.51578;43.20032
"4476";6.363;43.019
"4477";6.358;43.019
"4478";6.36;43.004
"4479";6.36;43.019
"4480";6.39;43.018
"4481";6.411;43.024
"4482";6.421;43.023
"4483";6.63531;43.28231
"4485";8.79;41.635
"4486";9.2449;41.33634
"4487";9.2512;41.30282
"4488";9.2656;41.34872
"4489";7.982;43.852
"4490";9.51;44.18
"4491";9.62685;44.12155
"4492";9.81593;44.00614
"4493";10.324;42.824
"4495";10.017;42.683
"4497";10.117;42.533
"4498";11.117;42.265
"4499";9.558;39.118
"4500";9.71439;40.89684
"4501";13.923;40.757
"4503";15.7613;39.85605
"4504";15.8166;39.61443
"4507";16.16;38.746
"4508";16.089;38.742
"4509";15.83389;38.36396
"4510";15.714;38.26
"4511";15.72297;38.26098
"4513";13.27126;38.22285
"4514";15.166;37.556
"4517";16.118;38.749
"4518";16.124;38.745
"4519";14.84134;44.88438
"4520";14.842;44.884
"4521";14.82;44.924
"4522";14.493;44.7274
"4523";14.73128;44.70559
"4524";15.11399;43.90541
"4525";15.15972;43.87713
"4526";15.16881;43.86891
"4527";15.18122;43.86199
"4528";15.204;43.852
"4529";15.21166;43.84684
"4530";15.21974;43.83862
"4531";15.255;43.804
"4532";15.26157;43.79707
"4533";15.93412;43.5175
"4534";15.94136;43.50753
"4535";15.96627;43.4901
"4536";26.51819;37.56928
"4537";24.613;38.106
"4538";23.5064;38.57472
"4540";26.534;38.969
"4541";22.79379;38.79262
"4542";23.99043;39.19005
"4543";24.12598;39.34467
"4545";26.45104;39.29658
"4546";26.15869;39.3432
"4547";26.437;39.358
"4550";26.57431;39.3669
"4554";3.21611;42.05452
"4564";11.10803;42.26597
"4565";-0.680000007152557;37.6300010681152
"4567";5.15502;43.28268
"4569";3.48429;42.54262
"4571";7.14844;43.58484
"4578";5.03193;43.28507
"4579";11.07098;42.41985
"4580";3.21554;42.03992
"4587";2.94159;41.71375
"4593";10.88168;42.39266
"4596";-6.060783;35.477494
