"";"Species";"Location";"Year";"Lon";"Lat";"Depth";"Main.reference"
"208";"Paramuricea clavata";"Stations T10; Marine Park Telascica; Croatia ";NA;15.204;43.852;"30-45";"Kruzic; P. (2007). Anthozoan Fauna of Telascica Nature Park (Adriatic Sea ; Croatia). Nat. Croat.; 16(4); 233-266."
"209";"Paramuricea clavata";"Stations T11; Marine Park Telascica; Croatia ";NA;15.21166;43.84684;"30-45";"Kruzic; P. (2007). Anthozoan Fauna of Telascica Nature Park (Adriatic Sea ; Croatia). Nat. Croat.; 16(4); 233-266."
"210";"Paramuricea clavata";"Obrucan; Croatia";NA;15.21974;43.83862;"25-55";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"211";"Paramuricea clavata";"Balun; Croatia";NA;15.255;43.804;"27-60";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"212";"Paramuricea clavata";"Mana; Croatia";NA;15.26157;43.79707;"27-60";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"213";"Paramuricea clavata";"Mulo; Croatia";NA;15.93412;43.5175;"35-50+";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"214";"Paramuricea clavata";"Smokvica; Croatia";NA;15.94136;43.50753;"30-50+";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"215";"Paramuricea clavata";"Planka; Croatia";NA;15.96627;43.4901;"32-50+";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"218";"Paramuricea clavata";"Fourni Island; Greece";NA;26.51819;37.56928;"";"Vasilis Gerovasileiou and Maria Sini personal communication; Hellenic Center for Marine Research; Institute of Marine Biology; Biotechnology and Aquaculture; Greece"
"219";"Paramuricea clavata";"S. Evia; site 2; Greece";NA;24.613;38.106;"61";"Salomidi; M.; Smith; C.; Katsanevakis; S.; Panayotidis; P.; & Papathanassiou; V. (2009). Some observations on the structure and distribution of gorgonian assemblages in the eastern Mediterranean Sea. In Proceedings of the 1st Mediterranean symposium on the conservation of the coralligenous and other calcareous bio-concretions. Tabarka; Tunisia (pp. 242-245)."
"220";"Paramuricea clavata";"Evia Island; Greece";NA;23.5064;38.57472;"";"Vasilis Gerovasileiou and Maria Sini personal communication; Hellenic Center for Marine Research; Institute of Marine Biology; Biotechnology and Aquaculture; Greece"
"222";"Paramuricea clavata";"Lesbos Island; Greece";NA;26.59;38.96;"";"GBIF Data Portal; www.gbif.net. 2014-03-10. Senckenberg: Collection Cnidaria SMF; 207950808."
"223";"Paramuricea clavata";"Lesvos Island; Greece";NA;26.534;38.969;"";"Gerovasileiou; V.; Sini; M. I.; Poursanidis; D.; & Koutsoubas; D. (2009). Contribution to the knowledge of Coralligenous communities in the NE Aegean Sea. In Proceedings of the 1st Mediterranean Symposium on the Coralligenous Conservation and other calcareous bio-concretions. Tabarka; Tunisia (pp. 14-16)."
"224";"Paramuricea clavata";"Greece";NA;22.79379;38.79262;"";"GBIF Data Portal; www.gbif.org"
"225";"Paramuricea clavata";"Greece";NA;23.99043;39.19005;"";"GBIF Data Portal; www.gbif.net. 2014-03-10. Senckenberg: Collection Cnidaria SMF; 207950808."
"226";"Paramuricea clavata";"Alonissos Island; Northern Sporades; Aegean Sea; Greece";NA;24.12598;39.34467;"";"Vasilis Gerovasileiou and Maria Sini personal communication; Hellenic Center for Marine Research; Institute of Marine Biology; Biotechnology and Aquaculture; Greece"
"227";"Paramuricea clavata";"Alonissos Island; Greece";NA;23.85528;39.12712;"";"GBIF Data Portal; www.gbif.net. 2014-03-10. Senckenberg: Collection Cnidaria SMF; 207950808."
"228";"Paramuricea clavata";"Lesvos Island; Greece";NA;26.45104;39.29658;"";"Gerovasileiou; V.; Sini; M. I.; Poursanidis; D.; & Koutsoubas; D. (2009). Contribution to the knowledge of Coralligenous communities in the NE Aegean Sea. In Proceedings of the 1st Mediterranean Symposium on the Coralligenous Conservation and other calcareous bio-concretions. Tabarka; Tunisia (pp. 14-16)."
"229";"Paramuricea clavata";"Lesvos Island; Greece";NA;26.15869;39.3432;"";"Gerovasileiou; V.; Sini; M. I.; Poursanidis; D.; & Koutsoubas; D. (2009). Contribution to the knowledge of Coralligenous communities in the NE Aegean Sea. In Proceedings of the 1st Mediterranean Symposium on the Coralligenous Conservation and other calcareous bio-concretions. Tabarka; Tunisia (pp. 14-16)."
"230";"Paramuricea clavata";"N. Lesvos; site 3; Greece";NA;26.437;39.358;"48";"Salomidi; M.; Smith; C.; Katsanevakis; S.; Panayotidis; P.; & Papathanassiou; V. (2009). Some observations on the structure and distribution of gorgonian assemblages in the eastern Mediterranean Sea. In Proceedings of the 1st Mediterranean symposium on the conservation of the coralligenous and other calcareous bio-concretions. Tabarka; Tunisia (pp. 242-245)."
